label,species_code,inat_taxon_id,inat2021_label,nabirds_labels,common_name,scientific_name,family,order,wikipedia_id,inat_taxon_id_cor,xeno_canto_names
31,eursta,14850,4202,439 748 856 1005,European Starling,Sturnus vulgaris,Sturnidae (Starlings),Passeriformes,European starling,14850,Sturnus vulgaris
32,grycat,14995,3940,275 851,Gray Catbird,Dumetella carolinensis,Mimidae (Mockingbirds and Thrashers),Passeriformes,Gray catbird,14995,Dumetella carolinensis
33,amerob,12727,4285,718 753 960,American Robin,Turdus migratorius,Turdidae (Thrushes and Allies),Passeriformes,American robin,12727,Turdus migratorius
34,cedwax,7428,3701,597 859,Cedar Waxwing,Bombycilla cedrorum,Bombycillidae (Waxwings),Passeriformes,Cedar waxwing,7428,Bombycilla cedrorum
35,houfin,199840,3824,419 790 997,House Finch,Haemorhous mexicanus,"Fringillidae (Finches, Euphonias, and Allies)",Passeriformes,House finch,199840,Haemorhous mexicanus
36,purfin,199841,3825,311 788 995,Purple Finch,Haemorhous purpureus,"Fringillidae (Finches, Euphonias, and Allies)",Passeriformes,Purple finch,199841,Haemorhous purpureus
37,comred,145300,3807,585 920,Common Redpoll,Acanthis flammea,"Fringillidae (Finches, Euphonias, and Allies)",Passeriformes,Common redpoll,145300,Acanthis flammea
38,amegfi,145310,3838,726 794 1001,American Goldfinch,Spinus tristis,"Fringillidae (Finches, Euphonias, and Allies)",Passeriformes,American goldfinch,145310,Spinus tristis
39,chispa,9135,4124,403 769 976,Chipping Sparrow,Spizella passerina,Passerellidae (New World Sparrows),Passeriformes,Chipping sparrow,9135,Spizella passerina
40,foxspa,9156,4113,591 749 901 1006,Fox Sparrow,Passerella iliaca,Passerellidae (New World Sparrows),Passeriformes,Fox sparrow,9156,Passerella iliaca
41,daejun,10094,4103,744 746 768 905 975 1010,Dark-eyed Junco,Junco hyemalis,Passerellidae (New World Sparrows),Passeriformes,Dark-eyed junco,10094,Junco hyemalis
42,whcspa,9176,4130,729 766 973,White-crowned Sparrow,Zonotrichia leucophrys,Passerellidae (New World Sparrows),Passeriformes,White-crowned sparrow,9176,Zonotrichia leucophrys
43,whtspa,9184,4127,714 764 971,White-throated Sparrow,Zonotrichia albicollis,Passerellidae (New World Sparrows),Passeriformes,White-throated sparrow,9184,Zonotrichia albicollis
44,sonspa,9100,4107,686 902,Song Sparrow,Melospiza melodia,Passerellidae (New World Sparrows),Passeriformes,Song sparrow,9100,Melospiza melodia
45,balori,9346,3880,742 786 993,Baltimore Oriole,Icterus galbula,Icteridae (Troupials and Allies),Passeriformes,Baltimore oriole,9346,Icterus galbula
46,rewbla,9744,3867,268 780 987,Red-winged Blackbird,Agelaius phoeniceus,Icteridae (Troupials and Allies),Passeriformes,Red-winged blackbird,9744,Agelaius phoeniceus
47,rusbla,10322,3874,404 911,Rusty Blackbird,Euphagus carolinus,Icteridae (Troupials and Allies),Passeriformes,Rusty blackbird,10322,Euphagus carolinus
48,comgra,9602,3901,429 912,Common Grackle,Quiscalus quiscula,Icteridae (Troupials and Allies),Passeriformes,Common grackle,9602,Quiscalus quiscula
49,ovenbi1,62550,4064,251 860,Ovenbird,Seiurus aurocapilla,Parulidae (New World Warblers),Passeriformes,Ovenbird,62550,Seiurus aurocapilla
50,amered,10247,4084,412 757 964,American Redstart,Setophaga ruticilla,Parulidae (New World Warblers),Passeriformes,American redstart,10247,Setophaga ruticilla
51,camwar,145231,4086,417 872,Cape May Warbler,Setophaga tigrina,Parulidae (New World Warblers),Passeriformes,Cape may warbler,145231,Setophaga tigrina
52,norpar,145233,4065,423 873,Northern Parula,Setophaga americana,Parulidae (New World Warblers),Passeriformes,northern parula,145233,Setophaga americana
53,yelwar,145238,4081,573 875,Yellow Warbler,Setophaga petechia,Parulidae (New World Warblers),Passeriformes,Yellow warbler,145238,Setophaga petechia
54,chswar,145239,4080,577 760 967,Chestnut-sided Warbler,Setophaga pensylvanica,Parulidae (New World Warblers),Passeriformes,Chestnut-sided warbler,145239,Setophaga pensylvanica
55,btbwar,199916,4066,589 762 969,Black-throated Blue Warbler,Setophaga caerulescens,Parulidae (New World Warblers),Passeriformes,Black-throated blue warbler,199916,Setophaga caerulescens
56,yerwar,145245,4071,691 747 798 958 1009,Yellow-rumped Warbler,Setophaga coronata,Parulidae (New World Warblers),Passeriformes,Yellow-rumped warbler,145245,Setophaga coronata
57,scatan,9921,3725,274 770 977,Scarlet Tanager,Piranga olivacea,Cardinalidae (Cardinals and Allies),Passeriformes,Scarlet tanager,9921,Piranga olivacea
58,norcar,9083,3709,310 772 979,Northern Cardinal,Cardinalis cardinalis,Cardinalidae (Cardinals and Allies),Passeriformes,Northern cardinal,9083,Cardinalis cardinalis
59,robgro,10271,3720,427 773 980,Rose-breasted Grosbeak,Pheucticus ludovicianus,Cardinalidae (Cardinals and Allies),Passeriformes,Rose-breasted grosbeak,10271,Pheucticus ludovicianus
